date,open,high,low,close,volume,marketcap,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
12/4/19,5061.2,5103.27,4955.85,5089.54,13675206312,89792633045,6.39E+12,1.201692847,10621161.13,26.36819362,402802,49894432.44,26.36819362,2565.617834
11/4/19,5325.08,5354.23,5017.3,5064.49,16555616019,89341168457,6.39E+12,1.213674912,10301707.85,25.98154316,396501,47034242.04,25.98154316,2679.060811
10/4/19,5204.11,5421.65,5193.38,5324.55,15504590933,93918439274,6.39E+12,1.251238629,9173643.193,26.50798013,346071,41949459.12,26.50798013,2621.75
9/4/19,5289.92,5289.92,5167.42,5204.96,14722104361,91799330425,6.39E+12,1.218371115,10327106.66,27.72995503,372417,47034242.04,27.72995503,2516.331081
8/4/19,5199.84,5318.84,5148.21,5289.77,17154113634,93286365973,6.39E+12,1.138896872,9474473.85,27.0212099,350631,44809649.52,27.0212099,2486.744681
7/4/19,5062.79,5235.19,5050.41,5198.9,16655416140,91674230186,6.38E+12,1.211691266,9169049.929,25.50011244,359569,44174051.65,25.50011244,2586.827338
6/4/19,5036.79,5205.82,4992.22,5059.82,16929795194,89212733450,6.38E+12,1.240968854,10409196.26,26.89089426,387090,50104170.89,26.89089426,2449.936709
5/4/19,4922.81,5053.51,4919.49,5036.68,16837325387,88796118650,6.38E+12,1.2129581,9466800.953,26.69260969,354660,44396100.79,26.69260969,2533.285714
4/4/19,4971.31,5063.16,4836.79,4922.8,18251810240,86778727821,6.38E+12,1.248329993,9620978.151,26.7063932,360250,45030330.8,26.7063932,2536.971831
3/4/19,4879.96,5307,4876.62,4973.02,22899891582,87655288145,6.38E+12,1.215506975,9710160.924,24.184288,401507,49787055.88,24.184288,2557.369427
2/4/19,4156.92,4905.95,4155.32,4879.88,21315047816,85986009273,6.38E+12,1.205358125,7303045.819,19.79660242,368904,43127640.77,19.79660242,2712.529412
1/4/19,4105.36,4164.95,4096.9,4158.18,10157794171,73269368747,6.38E+12,1.173565871,7323231.755,19.18824415,381652,44078985.78,19.18824415,2745.697842
31/3/19,4105.46,4113.02,4094.1,4105.4,9045122443,72339379036,6.38E+12,1.204920209,7361068.338,19.48491154,377783,44078985.78,19.48491154,2717.863309
30/3/19,4092.14,4296.81,4053.91,4106.66,9732688060,72355190645,6.38E+12,1.233981333,7747502.73,20.94955811,369817,46615905.83,20.94955811,2515.761905
29/3/19,4068.3,4113.5,4034.1,4098.37,10918665557,72202088875,6.38E+12,1.217287404,7555049.541,19.1899617,393698,46298790.82,19.1899617,2696.561644
