date,close,volume,BCHAIN-DIFF,BCHAIN-AVBLS,BCHAIN-MIREV,BCHAIN-CPTRA,BCHAIN-NTRAN,BCHAIN-HRATE,BCHAIN-CPT,BCHAIN-NTRBL
18/8/18,6423.76,3984520000,6.39E+12,0.833029454,12467282.79,53.32593134,233794,48277429.08,53.32593134,1538.118421
19/8/18,6506.07,3311170000,6.39E+12,0.590060225,12979347.07,67.97783053,190935,50818346.4,67.97783053,1193.34375
20/8/18,6308.53,3665100000,6.39E+12,0.619528076,11716527.56,69.99120409,167400,46054126.43,69.99120409,1154.482759
21/8/18,6488.76,3377180000,6.39E+12,0.818181573,12251866.12,56.98993001,214983,47642199.75,56.98993001,1433.22
22/8/18,6376.71,4668110000,6.39E+12,0.779786689,12000750.8,55.10568515,217777,47006970.42,55.10568515,1471.466216
23/8/18,6534.88,3426180000,6.39E+12,0.774898263,13310066.63,57.78619057,230333,50818346.4,57.78619057,1439.58125
24/8/18,6719.96,4097820000,6.39E+12,0.768391154,12109214.18,55.71245805,217352,47324585.09,55.71245805,1458.738255
25/8/18,6763.19,3312600000,6.51E+12,0.820710534,12067487.56,54.89014028,219848,48824180.03,54.89014028,1505.808219
26/8/18,6707.26,3295500000,6.73E+12,0.763551689,11480569.01,58.44908364,196420,45145645.91,58.44908364,1454.962963
27/8/18,6884.64,4019000000,6.73E+12,0.569715503,14616492.47,84.6121349,172747,57853309.21,84.6121349,998.5375723
28/8/18,7096.28,4659940000,6.73E+12,0.701549638,15757726.02,70.45519019,223656,61866255.51,70.45519019,1208.951351
29/8/18,7047.16,4145880000,6.73E+12,0.879880758,13704072.55,57.57070293,238039,51165065.37,57.57070293,1555.810458
30/8/18,6978.23,4463250000,6.73E+12,0.90788618,12423621.46,52.30822313,237508,46483294.68,52.30822313,1708.690647
31/8/18,7037.58,4495650000,6.73E+12,0.817750818,13512459.52,58.39665122,231391,51499477.56,58.39665122,1502.538961
1/9/18,7193.25,4116050000,6.73E+12,0.80918129,13703858.67,57.80365228,237076,51833889.75,57.80365228,1529.522581
2/9/18,7272.72,4329540000,6.73E+12,0.769296053,13539458.25,63.46690471,213331,50496240.99,63.46690471,1412.788079
3/9/18,7260.06,4087760000,6.73E+12,0.648996729,13164449.08,70.34357894,187145,48155355.64,70.34357894,1299.618056
4/9/18,7361.66,4273640000,6.73E+12,0.846752486,13214317.55,59.28441188,222897,48155355.64,59.28441188,1547.895833
5/9/18,6792.83,5800460000,6.73E+12,0.957670738,11716417.74,50.44418115,232265,42135936.19,50.44418115,1843.373016
6/9/18,6529.17,5523470000,6.73E+12,1.008443932,11962954.21,48.53578311,246477,44142409.34,48.53578311,1867.25
7/9/18,6467.07,4264680000,6.73E+12,0.888037207,12263681.83,48.61505279,252261,50161828.79,48.61505279,1681.74
8/9/18,6225.98,3835060000,6.97E+12,0.889911336,12425079.42,53.83716545,230790,53036795.53,53.83716545,1518.355263
9/9/18,6300.86,3671890000,7.02E+12,0.7105398,12056257.73,58.97556955,204428,52338942.95,58.97556955,1362.853333
10/9/18,6329.7,3714100000,7.02E+12,0.616029117,12924076.09,68.41320877,188912,56874984.68,68.41320877,1158.969325
11/9/18,6321.2,3849910000,7.02E+12,0.899061756,10753469.61,48.2508306,222866,47105048.66,48.2508306,1650.859259
